,Kommun,KommunParty,Lan,N,Party,Race,Year,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
0,14.0,,1.0,20.0,p_M,riksdagsval,2002,,,,,0.0
1,14.0,,1.0,20.0,p_C,riksdagsval,2002,,,,,0.0
2,14.0,,1.0,20.0,p_FP,riksdagsval,2002,,,,,0.0
3,14.0,,1.0,20.0,p_KD,riksdagsval,2002,,,,,0.0
4,14.0,,1.0,20.0,p_S,riksdagsval,2002,0.96585208333604,0.966319297644,0.967237548512,0.964294972685,0.86
5,14.0,,1.0,20.0,p_V,riksdagsval,2002,,,,,0.0
6,14.0,,1.0,20.0,p_other,riksdagsval,2002,,,,,0.0
7,15.0,,1.0,13.0,p_M,riksdagsval,2002,,,,,0.0
8,15.0,,1.0,13.0,p_C,riksdagsval,2002,,,,,0.0
9,15.0,,1.0,13.0,p_FP,riksdagsval,2002,,,,,0.0
10,15.0,,1.0,13.0,p_KD,riksdagsval,2002,,,,,0.0
11,15.0,,1.0,13.0,p_S,riksdagsval,2002,,,,,0.0
12,15.0,,1.0,13.0,p_V,riksdagsval,2002,,,,,0.0
13,15.0,,1.0,13.0,p_other,riksdagsval,2002,,,,,0.0
14,17.0,,1.0,21.0,p_M,riksdagsval,2002,,,,,0.0
15,17.0,,1.0,21.0,p_C,riksdagsval,2002,,,,,0.0
16,17.0,,1.0,21.0,p_FP,riksdagsval,2002,,,,,0.0
17,17.0,,1.0,21.0,p_KD,riksdagsval,2002,0.824178342100526,0.846213736476,0.813822516162,0.817397828585,0.66
18,17.0,,1.0,21.0,p_S,riksdagsval,2002,,,,,0.0
19,17.0,,1.0,21.0,p_V,riksdagsval,2002,,,,,0.0
20,17.0,,1.0,21.0,p_other,riksdagsval,2002,,,,,0.0
21,20.0,,1.0,17.0,p_M,riksdagsval,2002,,,,,0.0
22,20.0,,1.0,17.0,p_C,riksdagsval,2002,,,,,0.0
23,20.0,,1.0,17.0,p_FP,riksdagsval,2002,,,,,0.0
24,20.0,,1.0,17.0,p_KD,riksdagsval,2002,,,,,0.0
25,20.0,,1.0,17.0,p_S,riksdagsval,2002,,,,,0.0
26,20.0,,1.0,17.0,p_V,riksdagsval,2002,,,,,0.0
27,20.0,,1.0,17.0,p_other,riksdagsval,2002,,,,,0.0
28,23.0,,1.0,34.0,p_M,riksdagsval,2002,0.5451492119601545,0.533548572335,0.585674149728,0.558021191189,0.87
29,23.0,,1.0,34.0,p_C,riksdagsval,2002,0.02010530998277861,0.00868029161385,0.0350779826924,0.0210493615445,0.005
30,23.0,,1.0,34.0,p_FP,riksdagsval,2002,0.6324525550273677,0.642380001519,0.558852431666,0.618752054406,0.155
31,23.0,,1.0,34.0,p_KD,riksdagsval,2002,0.7780465638864276,0.66753487867,0.836921777429,0.797038886254,0.84
32,23.0,,1.0,34.0,p_S,riksdagsval,2002,,,,,0.0
33,23.0,,1.0,34.0,p_V,riksdagsval,2002,0.06910213351186195,0.0260354472888,0.0812531261863,0.0802288717357,0.03
34,23.0,,1.0,34.0,p_other,riksdagsval,2002,0.3628956863125229,0.200623937823,0.392053329157,0.389905801468,0.115
35,25.0,,1.0,15.0,p_M,riksdagsval,2002,,,,,0.0
36,25.0,,1.0,15.0,p_C,riksdagsval,2002,,,,,0.0
37,25.0,,1.0,15.0,p_FP,riksdagsval,2002,,,,,0.0
38,25.0,,1.0,15.0,p_KD,riksdagsval,2002,,,,,0.0
39,25.0,,1.0,15.0,p_S,riksdagsval,2002,,,,,0.0
40,25.0,,1.0,15.0,p_V,riksdagsval,2002,,,,,0.0
41,25.0,,1.0,15.0,p_other,riksdagsval,2002,,,,,0.0
42,26.0,,1.0,49.0,p_M,riksdagsval,2002,0.5627946923593887,0.507692453864,0.593801157741,0.582050128227,0.23
43,26.0,,1.0,49.0,p_C,riksdagsval,2002,0.7558765898910103,0.574271986846,0.696980639933,0.750085968113,0.7
44,26.0,,1.0,49.0,p_FP,riksdagsval,2002,0.3409064375099941,0.396599748044,0.328304757102,0.320015458714,0.365
45,26.0,,1.0,49.0,p_KD,riksdagsval,2002,0.2820602533761072,0.0994161645132,0.307612070043,0.320015458714,0.24
46,26.0,,1.0,49.0,p_S,riksdagsval,2002,,,,,0.0
