,N,Party,Race,Year,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
0,6266.0,p_M,riksdagsval,2002,0.670464303907,7.08556147177e-05,0.784902924428,0.779273524146,0.54
1,6266.0,p_C,riksdagsval,2002,0.965624342461,8.21980542445e-14,0.935788430292,0.861016328261,0.93
2,6266.0,p_FP,riksdagsval,2002,0.99686113785,5.22764181052e-05,0.999246768518,0.999392865137,1.0
3,6266.0,p_KD,riksdagsval,2002,0.129485667615,1.38653685161e-11,0.233657812117,0.162130232508,0.295
4,6266.0,p_S,riksdagsval,2002,0.947676655094,0.937304157294,0.820288348455,0.863083666036,0.815
5,6266.0,p_V,riksdagsval,2002,0.371719739353,1.75390097086e-11,0.49376690548,0.487700879685,0.525
6,6266.0,p_other,riksdagsval,2002,0.117669034511,1.58363841996e-13,0.220390686791,0.241149746564,0.215
7,6063.0,p_M,riksdagsval,2010,0.852237882003,0.784874251914,0.822211807668,0.782534556237,0.785
8,6063.0,p_C,riksdagsval,2010,0.666457168774,2.85647701473e-12,0.759074023125,0.715546151633,0.46
9,6063.0,p_FP,riksdagsval,2010,0.846667392963,7.43484850578e-08,0.66577115423,0.76435288057,0.775
10,6063.0,p_KD,riksdagsval,2010,0.240169609194,2.36450488819e-12,0.277440517308,0.197216198842,0.125
11,6063.0,p_S,riksdagsval,2010,0.285652902358,0.0729495311439,0.64763612281,0.631967662942,0.745
12,6063.0,p_V,riksdagsval,2010,0.991133528083,1.00970446582e-11,0.999243696322,0.997706759527,1.0
13,6063.0,p_MP,riksdagsval,2010,0.994064592698,7.69645045592e-09,0.999376542381,0.998843473632,1.0
14,6063.0,p_SD,riksdagsval,2010,0.0194738898048,1.18790417805e-23,0.121516397578,0.0988533191208,0.385
15,6063.0,p_other,riksdagsval,2010,0.263294208701,3.90109381551e-24,0.38901915103,0.349005127061,0.51
16,6227.0,p_M,riksdagsval,2014,0.2887529583,0.0491031761735,0.50026361717,0.49354010914,0.205
17,6227.0,p_C,riksdagsval,2014,0.31746848008,3.89207774264e-17,0.39970715842,0.467158690055,0.125
18,6227.0,p_FP,riksdagsval,2014,0.392470536029,4.2048318233e-18,0.658425270842,0.5415262977,0.795
19,6227.0,p_S,riksdagsval,2014,0.494492638574,0.339767208522,0.556653210226,0.597524521494,0.43
20,6227.0,p_V,riksdagsval,2014,0.169386630005,2.5229755132e-15,0.23394503394,0.268470613665,0.525
21,6227.0,p_MP,riksdagsval,2014,0.606897281122,4.67499597309e-08,0.575007938241,0.529217830727,0.68
22,6227.0,p_SD,riksdagsval,2014,0.72838592978,0.00988850756227,0.832322177431,0.824028721345,0.94
23,6227.0,p_other,riksdagsval,2014,0.400131865029,1.41281882115e-05,0.411121128124,0.457704652187,0.455
24,6063.0,p_M,kommunval,2010,0.0398659535077,0.00562232374432,0.0589990975446,0.0595156158613,0.13
25,6063.0,p_C,kommunval,2010,0.326125218595,3.8939385316e-18,0.329077293369,0.665600625095,0.155
