edate,prov,ilce,name,year,type,regvoter,actvoter,validvoter,p_akp,p_anadolupartisi,p_bgmz,p_btp,p_chp,p_dp,p_dsp,p_dyp,p_hakpar,p_hap,p_hdp,p_hkp,p_kp,p_ldp,p_mep,p_mhp,p_millet,p_saadet,p_turkparti,p_vatan,p_yurtp,edate_prov
2015_6,Zonguldak,Eregli,Kisla,2015,parl15_1,353,323,316,116,0,0,0,110,2,1,0,0,0,1,1,0,0,0,73,2,8,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Mithatpasa,2015,parl15_1,373,296,285,114,0,0,0,103,1,0,1,0,0,0,0,0,1,0,50,1,14,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Devrek,Dedeoglu,2015,parl15_1,347,302,290,191,0,0,1,46,2,0,0,0,1,1,0,0,0,0,38,2,8,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Suleymanlar,2015,parl15_1,357,295,291,78,0,0,0,136,0,2,0,0,0,6,0,0,0,0,61,0,7,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Terakki,2015,parl15_1,351,301,301,165,0,0,0,79,0,0,1,0,0,3,1,0,0,0,46,0,6,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Devrek,Adatepe,2015,parl15_1,257,200,197,128,1,0,1,43,1,3,1,0,2,0,0,0,1,0,10,1,5,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Persembe-Kececioglu,2015,parl15_1,357,315,284,71,0,0,0,168,2,2,0,0,1,1,0,0,1,0,29,0,9,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Koseler,2015,parl15_1,327,297,291,115,0,0,2,105,0,4,2,0,0,1,1,0,0,0,55,0,6,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Gokhasan,2015,parl15_1,155,148,144,96,0,0,0,19,1,2,0,0,0,0,0,0,0,0,21,0,5,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Elmaci,2015,parl15_1,209,174,161,79,0,0,0,29,0,0,0,0,0,0,0,0,0,0,42,1,10,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Kurtlar,2015,parl15_1,222,202,196,74,0,0,0,74,0,1,1,0,0,0,0,0,0,0,38,0,8,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Gumeli-Kale,2015,parl15_1,277,254,248,3,0,0,0,224,0,6,0,0,0,4,0,0,0,0,9,0,2,0,0,0,2015_6_Zonguldak
