,N,Party,Province,Race,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
0,3440.0,p_bgmz,Adana,1991,0.0,0.0,1.30000324615e-56,0.0,0.0
1,3440.0,p_dsp,Adana,1991,0.798107721179,7.34388485058e-24,0.834391359106,0.632882057783,0.89
2,3440.0,p_dyp,Adana,1991,0.713779220202,9.84464198809e-05,0.617242720451,0.712881841798,0.49
3,3440.0,p_anap,Adana,1991,0.292594371391,4.16144833331e-09,0.333700431911,0.315472771117,0.49
4,3440.0,p_rp,Adana,1991,0.0850721349167,1.24118836384e-09,0.156636410797,0.0299702723993,0.14
5,3440.0,p_shp,Adana,1991,0.893449382247,2.3582854357e-06,0.937051422465,0.833801148869,0.72
6,3440.0,p_sp,Adana,1991,0.0,0.0,1.29201541538e-45,0.0,0.0
7,856.0,p_bgmz,Adiyaman,1991,0.0,0.0,,0.0,0.0
8,856.0,p_dsp,Adiyaman,1991,8.52805426563e-51,0.0,0.00179618963403,3.78718769358e-53,0.0
9,856.0,p_dyp,Adiyaman,1991,0.158277339374,0.112779480967,0.318696685397,0.109634879514,0.17
10,856.0,p_anap,Adiyaman,1991,0.319302474063,0.0123367929112,0.288554220501,0.267159829,0.58
11,856.0,p_rp,Adiyaman,1991,0.0395319780251,0.0237219849615,0.350369499743,0.020825367992,0.48
12,856.0,p_shp,Adiyaman,1991,0.288878535275,0.0290144470558,0.475238514321,0.221871139453,0.75
13,856.0,p_sp,Adiyaman,1991,0.0,0.0,2.26946391248e-06,0.0,0.0
14,1366.0,p_bgmz,Afyonkarahisar,1991,0.0,0.0,,0.0,0.0
15,1366.0,p_dsp,Afyonkarahisar,1991,0.440232870525,1.32436338038e-27,0.1247924082,0.531492532778,0.43
16,1366.0,p_dyp,Afyonkarahisar,1991,0.0680904683251,0.00757613136292,0.0599171013046,0.0655484216149,0.11
17,1366.0,p_anap,Afyonkarahisar,1991,0.409771310412,1.12104732645e-05,0.6021564863,0.495137073206,0.38
18,1366.0,p_rp,Afyonkarahisar,1991,0.0703374006792,6.60511122294e-10,0.0592496981415,0.115713843661,0.07
19,1366.0,p_shp,Afyonkarahisar,1991,0.635631827839,1.73240938462e-08,0.343123991195,0.612591758296,0.22
20,1366.0,p_sp,Afyonkarahisar,1991,0.0,0.0,3.7142238932e-19,0.0,0.0
21,788.0,p_bgmz,Agri,1991,1.40616789505e-234,0.0,0.889186637371,4.1936394382e-241,0.52
22,788.0,p_dsp,Agri,1991,2.6393508991e-100,0.0,0.767327447074,5.83431351093e-104,0.1
23,788.0,p_dyp,Agri,1991,7.99715139571e-06,7.70522553633e-10,0.484911739504,1.92381253451e-06,0.58
24,788.0,p_anap,Agri,1991,0.000647722552464,6.614374492e-10,0.839181274509,0.000189315977759,0.93
25,788.0,p_rp,Agri,1991,0.00898496405478,2.14697432497e-08,0.908526288818,0.00352698832021,0.85
26,788.0,p_shp,Agri,1991,5.84249648839e-31,1.75009505733e-83,0.871141968092,1.01984816956e-32,0.9
27,788.0,p_sp,Agri,1991,0.0,0.0,0.0117091474994,0.0,0.02
28,580.0,p_bgmz,Aksaray,1991,0.0,0.0,1.67542177199e-06,0.0,0.0
29,580.0,p_dsp,Aksaray,1991,0.00500301054535,8.13022816641e-09,0.246378172581,0.0027154549449,0.48
30,580.0,p_dyp,Aksaray,1991,0.0507410407934,0.00115366759966,0.0615012079102,0.0606768805907,0.36
31,580.0,p_anap,Aksaray,1991,0.779003065364,0.636233519624,0.923349169667,0.70143654076,0.89
32,580.0,p_rp,Aksaray,1991,0.749489448418,0.775206483403,0.741146589595,0.662234038717,0.63
33,580.0,p_shp,Aksaray,1991,0.496640865769,0.00410473506218,0.803347024125,0.489676380732,0.66
34,580.0,p_sp,Aksaray,1991,4.60285028897e-284,0.0,1.89446139145e-11,1.26859405508e-290,0.0
35,795.0,p_bgmz,Amasya,1991,0.0,0.0,,0.0,0.0
36,795.0,p_dsp,Amasya,1991,5.18031292646e-05,7.62647490157e-12,0.0476823266216,1.30576726928e-05,0.0
37,795.0,p_dyp,Amasya,1991,0.229635897131,0.0112130569878,0.540238886904,0.170146132516,0.78
38,795.0,p_anap,Amasya,1991,0.200044356677,0.00500902044451,0.208347131664,0.186088655898,0.21
39,795.0,p_rp,Amasya,1991,0.0817412238388,0.0263891478938,0.805915760549,0.0389220141292,0.93
40,795.0,p_shp,Amasya,1991,0.0825647429197,0.0954127889513,0.694065927098,0.0408895893125,0.41
41,795.0,p_sp,Amasya,1991,0.0,0.0,2.22763251748e-09,0.0,0.0
42,6906.0,p_bgmz,Ankara,1991,0.0,0.0,4.08040507447e-109,0.0,0.0
43,6906.0,p_dsp,Ankara,1991,0.512323981158,1.66896295611e-25,0.831006184618,0.159318821806,0.42
44,6906.0,p_dyp,Ankara,1991,0.916783670525,7.70853137443e-14,0.912699885749,0.862156923884,0.62
45,6906.0,p_anap,Ankara,1991,0.0815462794,4.98907722005e-20,0.0907359275367,0.0966822349006,0.13
46,6906.0,p_rp,Ankara,1991,0.324194299096,2.02340762367e-22,0.347207369817,0.273551402751,0.19
47,6906.0,p_shp,Ankara,1991,0.159522590177,6.13246581694e-11,0.609663970055,0.0219687097617,0.76
48,6906.0,p_sp,Ankara,1991,0.0,0.0,2.56794028512e-100,0.0,0.0
49,2011.0,p_bgmz,Antalya,1991,0.0,0.0,,0.0,0.0
50,2011.0,p_dsp,Antalya,1991,0.0108549765713,2.89183194596e-48,0.138111979771,0.00400868080314,0.0
51,2011.0,p_dyp,Antalya,1991,0.372053119107,0.162796965084,0.298238547535,0.32156277427,0.44
52,2011.0,p_anap,Antalya,1991,0.790896035681,0.000590997419011,0.874068812224,0.802325043456,0.85
53,2011.0,p_rp,Antalya,1991,0.0725421121979,6.07262210014e-18,0.0895481251536,0.0771543842414,0.1
54,2011.0,p_shp,Antalya,1991,0.286334387184,4.7088248396e-06,0.287429488398,0.341741248814,0.44
55,2011.0,p_sp,Antalya,1991,0.0,0.0,6.24842953581e-24,0.0,0.0
56,560.0,p_bgmz,Artvin,1991,0.0,0.0,,0.0,0.0
57,560.0,p_dsp,Artvin,1991,0.767498359787,9.54307213336e-14,0.815074673258,0.681641700402,0.5
58,560.0,p_dyp,Artvin,1991,0.0215614623062,0.000376927419864,0.0416200850137,0.0270778375002,0.09
59,560.0,p_anap,Artvin,1991,0.317863204401,0.0369370485618,0.331131062044,0.290683648012,0.16
60,560.0,p_rp,Artvin,1991,0.365036356622,2.54089066745e-08,0.503413353869,0.325095905822,0.42
61,560.0,p_shp,Artvin,1991,0.648130709695,0.407672725651,0.651693138499,0.585208769383,0.78
62,560.0,p_sp,Artvin,1991,3.43847516645e-177,0.0,7.1023400337e-07,9.8379643495e-182,0.0
63,1726.0,p_bgmz,Aydin,1991,0.0,0.0,3.18631970894e-09,0.0,0.0
64,1726.0,p_dsp,Aydin,1991,0.89572539715,1.13974426066e-07,0.954368622429,0.854312494906,0.91
65,1726.0,p_dyp,Aydin,1991,0.299337254337,0.023833149399,0.283835105005,0.27578837151,0.73
66,1726.0,p_anap,Aydin,1991,0.470915725155,0.00662001089572,0.543998158788,0.46829978642,0.82
67,1726.0,p_rp,Aydin,1991,0.206808825138,2.48796283743e-30,0.351847009072,0.184550104358,0.09
68,1726.0,p_shp,Aydin,1991,0.231483838269,3.86746929262e-08,0.270921959514,0.320247927796,0.35
69,1726.0,p_sp,Aydin,1991,0.0,0.0,1.33365595944e-24,0.0,0.0
70,2249.0,p_bgmz,Balikesir,1991,0.0,0.0,,0.0,0.0
71,2249.0,p_dsp,Balikesir,1991,0.205325559845,1.17299313626e-12,0.402916838002,0.179547992861,0.4
72,2249.0,p_dyp,Balikesir,1991,0.876687148106,0.0534123711597,0.824103702331,0.873171307242,0.47
73,2249.0,p_anap,Balikesir,1991,0.465323515153,2.17150680542e-05,0.449206033497,0.47209935515,0.15
74,2249.0,p_rp,Balikesir,1991,0.65774064815,4.40717276791e-25,0.586076340504,0.558648915422,0.47
75,2249.0,p_shp,Balikesir,1991,0.0921729624411,3.08942574509e-06,0.317556970176,0.0443393940691,0.26
76,2249.0,p_sp,Balikesir,1991,0.0,0.0,1.8727531299e-27,0.0,0.0
77,467.0,p_bgmz,Bartin,1991,0.0,0.0,,0.0,0.0
78,467.0,p_dsp,Bartin,1991,0.157108664802,0.328871310331,0.159195760239,0.123626042985,0.21
79,467.0,p_dyp,Bartin,1991,0.721311292776,0.318130302808,0.700537508992,0.748671987076,0.82
80,467.0,p_anap,Bartin,1991,0.322383973284,0.000281695139101,0.438508054263,0.414284568212,0.59
81,467.0,p_rp,Bartin,1991,0.0648682497313,9.84058686716e-08,0.369171914762,0.0542854278651,0.13
82,467.0,p_shp,Bartin,1991,0.189847541991,7.72044219681e-08,0.352755658043,0.171522269581,0.03
83,467.0,p_sp,Bartin,1991,5.20919658173e-151,0.0,0.000117820970696,6.4542932861e-155,0.0
84,550.0,p_bgmz,Batman,1991,0.0,0.0,,0.0,0.0
85,550.0,p_dsp,Batman,1991,9.70727960752e-169,0.0,0.00822173910373,2.69468764164e-173,0.01
86,550.0,p_dyp,Batman,1991,5.00409221478e-10,8.16778557336e-21,0.967969417949,8.08737924768e-11,0.96
87,550.0,p_anap,Batman,1991,4.99059676877e-12,2.52542122457e-25,0.638043915793,7.69322089824e-13,0.62
88,550.0,p_rp,Batman,1991,0.0167218553844,2.48114693434e-06,0.959524876621,0.00800133439444,0.9
89,550.0,p_shp,Batman,1991,0.837143560005,0.869675216627,0.730646427976,0.782671283859,0.57
90,550.0,p_sp,Batman,1991,0.0,0.0,0.00686690535741,0.0,0.01
91,249.0,p_bgmz,Bayburt,1991,0.0,0.0,,0.0,0.0
92,249.0,p_dsp,Bayburt,1991,1.84012010759e-12,1.99063264217e-53,0.230362361286,5.14182006317e-13,0.06
93,249.0,p_dyp,Bayburt,1991,0.0396682409729,5.85143352524e-06,0.116893606687,0.03304573563,0.09
94,249.0,p_anap,Bayburt,1991,0.681029640735,0.113748370112,0.648039493971,0.717623953548,0.48
95,249.0,p_rp,Bayburt,1991,0.359000404494,0.105628916772,0.265913987741,0.370679449758,0.22
96,249.0,p_shp,Bayburt,1991,3.70077603991e-13,1.94681875786e-51,0.363697163771,7.90464281967e-14,0.02
97,249.0,p_sp,Bayburt,1991,1.82541258588e-183,0.0,0.00647827241861,1.40315560567e-187,0.0
98,461.0,p_bgmz,Bilecik,1991,0.0,0.0,,0.0,0.0
99,461.0,p_dsp,Bilecik,1991,0.670903644205,0.00412204898934,0.622777279314,0.609587465634,0.51
100,461.0,p_dyp,Bilecik,1991,0.61406206578,0.0595377927688,0.739459296458,0.704075075277,0.78
101,461.0,p_anap,Bilecik,1991,0.0819934345985,0.322094652114,0.10914904289,0.0503716945708,0.14
102,461.0,p_rp,Bilecik,1991,0.08034185061,1.16481123992e-06,0.0273916903806,0.0779040163686,0.01
103,461.0,p_shp,Bilecik,1991,0.75014295275,0.0018118612174,0.533108287646,0.765025977131,0.47
104,461.0,p_sp,Bilecik,1991,0.0,0.0,0.00663684461792,0.0,0.0
105,554.0,p_bgmz,Bingol,1991,0.0,0.0,,0.0,0.0
106,554.0,p_dsp,Bingol,1991,9.51429357889e-198,0.0,0.242740227051,6.1492351115e-203,0.12
107,554.0,p_dyp,Bingol,1991,0.009619393993,4.5249546701e-10,0.0773793012387,0.00643577353367,0.09
108,554.0,p_anap,Bingol,1991,1.48223420784e-19,8.64956068912e-42,0.582447202665,1.02371216733e-20,0.55
109,554.0,p_rp,Bingol,1991,5.59953177213e-19,8.06307495187e-33,0.913834796848,6.17909566159e-20,0.88
110,554.0,p_shp,Bingol,1991,4.62182120706e-12,1.68167313097e-29,0.402760876849,5.82744498763e-13,0.68
111,554.0,p_sp,Bingol,1991,0.0,0.0,0.282937159071,0.0,0.47
112,553.0,p_bgmz,Bitlis,1991,0.0,0.0,0.0715385054095,0.0,0.0
113,553.0,p_dsp,Bitlis,1991,6.41946945656e-84,0.0,0.531487419562,8.18176754939e-87,0.11
114,553.0,p_dyp,Bitlis,1991,1.02357347583e-38,3.68930626752e-103,0.104378440444,2.27637888994e-40,0.32
115,553.0,p_anap,Bitlis,1991,0.174147297232,0.0230077126961,0.927506912043,0.107760644659,0.82
116,553.0,p_rp,Bitlis,1991,0.0692199666031,0.0013351654118,0.0607966928605,0.0613239539016,0.06
117,553.0,p_shp,Bitlis,1991,0.00711087604367,5.07642765524e-06,0.638870529491,0.00310190519251,0.43
118,553.0,p_sp,Bitlis,1991,0.0,0.0,0.0178552018731,0.0,0.0
119,1411.0,p_bgmz,Bolu,1991,0.0,0.0,,0.0,0.0
120,1411.0,p_dsp,Bolu,1991,0.137132695437,3.56659471253e-15,0.450284906794,0.0932190720634,0.19
121,1411.0,p_dyp,Bolu,1991,0.453878819778,0.00105081136392,0.631667001601,0.500190750375,0.31
122,1411.0,p_anap,Bolu,1991,0.397030845817,0.000441315019195,0.413368043778,0.4471447178,0.45
123,1411.0,p_rp,Bolu,1991,0.226907296215,7.88094318413e-05,0.294823078686,0.17840518929,0.39
124,1411.0,p_shp,Bolu,1991,1.45809493492e-05,2.49205658703e-18,0.404797732811,2.08198523823e-06,0.43
125,1411.0,p_sp,Bolu,1991,0.0,0.0,2.01858067204e-14,0.0,0.0
126,584.0,p_bgmz,Burdur,1991,0.0,0.0,,0.0,0.0
